csv_content
ID,Dia,Hora,Coord_X,Coord_Y,Causa
1,0,12,9497.250468170738,19147.604174733755,Clima
2,1,9,8407.740536393783,19870.637718020418,Clima
3,1,16,8495.506584764884,21700.0202757849,Clima
4,1,17,8752.641211545608,21172.090527481556,Clima
5,4,12,2082.0179447600194,32225.289973059855,Clima

